5288,-8520,9521,-10892,5870,-8605
1549,-3158,4310,-8660,3518,-5029
3519,-5273,4371,-10913,2157,-6635
2353,-4689,6933,-9505,2573,-4945
2453,-3750,3671,-5566,1582,-6842
1507,-2530,1850,-3026,1891,-3084
3703,-7227,5311,-12184,5168,-7732
1501,-3344,4701,-7253,4235,-5370
1683,-2827,4247,-12476,2600,-3912
1806,-2861,3823,-9568,1752,-2953
1547,-2567,2540,-4840,1626,-2695
5125,-7846,7184,-9134,1670,-10531
1510,-2689,1553,-2734,7256,-9000
1534,-2723,1747,-3696,1745,-7095
3278,-5122,3856,-11661,2468,-6500
1515,-2691,1670,-4937,2582,-5576
4933,-9998,6582,-12377,10291,-13496
4588,-5702,2024,-7186,2315,-9353
1653,-2997,10280,-12761,2308,-3813
1504,-2516,1924,-3706,1504,-2540
1986,-3715,3544,-6301,12204,-13257
1566,-2622,2817,-4430,1734,-2742
3908,-5191,2607,-6855,1734,-7410
1953,-3256,2528,-11698,2156,-4448
4486,-7689,4759,-8831,10536,-12833
1622,-2686,1598,-2722,3892,-4971
1865,-4006,6419,-8313,1912,-4853
1587,-2637,3743,-7037,2823,-10487
1587,-2683,4844,-8991,1591,-2742
1853,-3072,4099,-8845,2898,-10997
3496,-6087,4245,-7118,11062,-12397
1927,-4447,3757,-11624,1953,-7217
1881,-2965,11362,-12810,1578,-5110
1617,-3757,2574,-12515,1652,-4558
2479,-4958,8519,-11518,2884,-8456
3258,-4419,9001,-11517,3917,-7189
1551,-2739,10782,-12307,1622,-3004
1938,-3264,1887,-3417,3576,-5627
2257,-4218,2320,-10674,5471,-6919
1570,-3721,2871,-12512,3231,-11125
1539,-2601,6693,-9396,2447,-3637
1625,-3123,3041,-5462,2891,-3952
1746,-2807,4290,-5342,9024,-10772
1518,-2534,1583,-2574,2903,-5280
1712,-2995,1562,-7316,1915,-3622
1518,-2536,2476,-3955,1693,-3042
1714,-2775,1521,-3170,2501,-5324
1703,-2944,1521,-4496,2010,-5513
2977,-9464,3876,-9936,2859,-10374
2035,-3205,7921,-10668,1703,-4149
2425,-4836,5432,-10909,4571,-6507
1501,-2525,1570,-2642,2476,-7541
2009,-5660,6089,-8179,4057,-6926
1860,-4895,2286,-10291,4853,-6787
2693,-5745,4571,-6378,7028,-9199
1524,-2799,2784,-4910,4823,-8413
2164,-3640,6150,-11682,3977,-5406
2556,-3981,4228,-11568,8625,-11263
1530,-3340,1498,-3787,2869,-9975
1577,-3381,4143,-7761,3047,-6074
2171,-3407,8157,-9886,2386,-5663
2384,-7981,1924,-11279,2150,-12737
1806,-3802,2020,-11556,6486,-8031
2087,-3748,2952,-4139,6449,-10538
1869,-3401,4086,-10495,3430,-4494
2184,-4391,6258,-11482,2792,-5539
1850,-5447,2552,-10389,7228,-13200
3423,-5267,8989,-10218,1922,-5678
2637,-4672,10264,-11652,3490,-5425
1974,-3307,2841,-4331,4916,-6027
2138,-3742,2628,-3925,11106,-13216
4939,-8922,9911,-13190,3805,-11706
1781,-4174,8445,-12614,3373,-4551
1551,-2611,3081,-4235,5751,-9098
2230,-3312,1860,-3980,5325,-9792
1842,-2917,3239,-10419,2184,-3312
2304,-4041,5499,-6593,4315,-6044
4546,-6625,8796,-10394,5476,-9503
2296,-3672,2488,-6306,3204,-5963
1565,-2667,5421,-6963,1716,-9903
1904,-4103,5695,-12555,2975,-7814
1926,-3253,4693,-5909,7275,-10116
2373,-4392,6313,-13296,5781,-7130
4752,-6274,3514,-8468,10473,-11888
2181,-3644,1628,-6502,3755,-12483
5559,-6747,4297,-9700,4175,-7124
1498,-2543,5106,-6294,1654,-3730
2607,-3629,3609,-5413,1729,-3655
3017,-4638,1940,-8211,6536,-11703
1556,-2708,1621,-2721,3378,-7488
1773,-2888,3029,-13460,3309,-5288
1775,-3482,3675,-4866,4221,-6606
1687,-3619,7078,-8838,2251,-4801
2422,-6471,2443,-6825,2856,-11158
2924,-5245,5279,-9832,4610,-6277
1592,-2883,3781,-5848,4918,-13422
1927,-4333,5766,-11366,4687,-10917
1696,-2869,4430,-7638,1693,-3340
2848,-4057,2479,-6571,3564,-8467
2428,-4058,2993,-13266,2054,-4107
2630,-4233,8381,-10101,11620,-13362
3969,-5616,3350,-11680,5106,-9668
4814,-6006,5070,-12107,2643,-7670
2761,-7075,2989,-10307,3402,-9358
2028,-4330,2652,-5635,3899,-8409
1875,-4054,3000,-6717,7972,-11419
2604,-7045,5589,-9678,5760,-8233
2192,-4759,1675,-5994,3194,-6197
1497,-2687,3798,-5742,1512,-3034
1697,-5270,5332,-7213,3487,-8779
1705,-3138,5587,-7001,2223,-10107
3896,-5162,10027,-12675,6159,-8434
1547,-2958,1674,-3092,3093,-6982
1523,-2558,1534,-2598,2815,-8167
1505,-2549,2652,-4344,2957,-12368
1813,-3495,1873,-4354,1562,-4161
2788,-3898,3266,-5339,2559,-4559
2091,-3579,5675,-6724,2350,-5864
1701,-2974,10966,-12807,1612,-3280
2526,-5450,5549,-11901,2051,-11218
6682,-8787,8988,-11743,2440,-10258
3499,-5369,2261,-6784,3969,-7919
4344,-5954,6161,-10299,5671,-6964
3773,-10760,2484,-12995,7886,-11300
1776,-5412,5129,-8324,2444,-5625
2340,-5666,2869,-10451,6663,-8800
2453,-4451,5560,-7594,2689,-6827
1505,-2905,1976,-3126,2533,-3676
1646,-2989,3714,-5335,11685,-13090
1556,-3039,2628,-8804,1561,-9424
2492,-3635,2498,-3811,6066,-9793
3886,-7339,2629,-12087,6922,-11097
2546,-4226,3858,-8816,7145,-8323
1913,-3260,4897,-6145,3469,-5687
1598,-2674,1762,-6003,7288,-10096
5653,-7942,5727,-11171,4239,-12430
1598,-2801,7239,-11522,1779,-3137
4840,-6998,1987,-8077,2703,-11143
2103,-3269,2185,-3400,2767,-7712
1615,-3976,6017,-12092,8719,-10803
3446,-4711,2102,-5344,4621,-7631
1845,-3087,3210,-5493,6993,-11460
1674,-3069,5449,-6767,2484,-3509
1514,-2551,1662,-4614,3749,-7906
1539,-2649,1544,-2873,2882,-4872
4648,-6071,3264,-6138,5555,-8028
3705,-4970,3982,-7638,2379,-11758
2898,-7521,2570,-11007,9769,-12792
1502,-2537,1852,-3054,3448,-5066
